frame,tick,x,y,z,moved_m
643,1455,4.47,27.71,5.63,
644,1456,4.46,27.64,5.64,0.07
645,1456,4.46,27.64,5.64,0.00
646,1457,4.47,27.57,5.64,0.08
647,1458,2.62,19.87,3.69,8.15
648,1458,2.62,19.81,3.69,0.05
649,1459,4.46,27.43,5.64,8.08
650,1461,4.47,27.36,5.64,0.07
651,1461,2.62,6.65,2.12,21.09
652,1461,2.62,6.65,2.12,0.01
653,1462,4.47,27.09,5.62,20.83
654,1463,4.48,27.19,5.63,0.10
655,1463,4.47,27.06,5.62,0.13
656,1464,4.48,27.13,5.63,0.07
657,1465,4.47,27.06,5.62,0.07
658,1465,4.47,27.06,5.62,0.00
659,1466,4.47,27.05,5.62,0.02
